label,pattern
PERSON,Mademoiselle Arabella Dudley
PERSON,Madame Marchioness of Dudley
PERSON,Madame Josephine du Ronceret
PERSON,Mademoiselle Aurelie Schontz
PERSON,Mademoiselle Jeanne d'Espard
PERSON,Mlle. Virginie de Troisville
PERSON,Mlle. Virginie de Montcornet
PERSON,Marie-Angelique de Granville
PERSON,Duchesse de Lenoncourt-Givry
PERSON,Mademoiselle de Negrepelesse
PERSON,Mademoiselle de Nègrepelisse
PERSON,Mademoiselle de Ronquerolles
PERSON,Mademoiselle Blamont-Chauvry
PERSON,Madame Delphine de Nucingen
PERSON,Mlle Louise de Negrepelesse
PERSON,Mme. Louise de Negrepelesse
PERSON,Mlle Louise de Nègrepelisse
PERSON,Mme. Louise de Nègrepelisse
PERSON,Madame Lady Arabella Dudley
PERSON,Mlle. Marchioness of Dudley
PERSON,Mademoiselle Florine Nathan
PERSON,Mlle. Josephine du Ronceret
PERSON,Mademoiselle Little Aurelie
PERSON,Madame Félicité des Touches
PERSON,Madame Felicite des Touches
PERSON,Mademoiselle Camille Maupin
PERSON,Mlle Virginie de Troisville
PERSON,Mme. Virginie de Troisville
PERSON,Mlle Virginie de Montcornet
PERSON,Mme. Virginie de Montcornet
PERSON,Emile-Adolphe-Lucian Cochin
PERSON,Marie-Athenais de Grandlieu
PERSON,Baron Frederic de Nucingen
PERSON,Mlle. Delphine de Nucingen
PERSON,Mme Louise de Negrepelesse
PERSON,Mme Louise de Nègrepelisse
PERSON,Count Felix de Vandernesse
PERSON,Duc Ferdinand de Grandlieu
PERSON,Mademoiselle Lady Arabella
PERSON,Mlle. Lady Arabella Dudley
PERSON,Mlle Marchioness of Dudley
PERSON,Mme. Marchioness of Dudley
PERSON,Mlle Josephine du Ronceret
PERSON,Mme. Josephine du Ronceret
PERSON,Mlle. Félicité des Touches
PERSON,Mlle. Felicite des Touches
PERSON,Jeanne-Clémentine-Athénaïs
PERSON,Jeanne Clementine Athenais
PERSON,Monsieur de La Roche-Hugon
PERSON,Madame Claire de Bourgogne
PERSON,Madame Claire de Beauséant
PERSON,Madame Claire de Beauseant
PERSON,Mademoiselle de Troisville
PERSON,Mme Virginie de Troisville
PERSON,Mme Virginie de Montcornet
PERSON,Duc de Lenoncourt-Chaulieu
PERSON,Marie Eugenie de Granville
PERSON,Vicomte Juste de Grandlieu
PERSON,Mademoiselle de Montcornet
PERSON,Mlle Delphine de Nucingen
PERSON,Mme. Delphine de Nucingen
PERSON,Madame Louise du Chatelet
PERSON,Comte Félix de Vandenesse
PERSON,Comte Felix de Vandenesse
PERSON,Madame Léontine de Sérisy
PERSON,Madame Léontine de Sérizy
PERSON,Madame Leontine de Serisy
PERSON,Madame Leontine de Serizy
PERSON,Mlle Lady Arabella Dudley
PERSON,Mme. Lady Arabella Dudley
PERSON,Mme Marchioness of Dudley
PERSON,Mademoiselle Leon de Lora
PERSON,Mme Josephine du Ronceret
PERSON,Madame Demoiselle Chevrel
PERSON,Mlle Félicité des Touches
PERSON,Mme. Félicité des Touches
PERSON,Mlle Felicite des Touches
PERSON,Mme. Felicite des Touches
PERSON,M Marechal  de Montcornet
PERSON,Jeanne de Blamont-Chauvry
PERSON,Martial de La Roche-Hugon
PERSON,Mlle. Claire de Bourgogne
PERSON,Mlle. Claire de Beauséant
PERSON,Mlle. Claire de Beauseant
PERSON,Baron Eugene de Granville
PERSON,Mademoiselle de Grandlieu
PERSON,Mademoiselle Negrepelesse
PERSON,Mademoiselle Nègrepelisse
PERSON,Mademoiselle Ronquerolles
PERSON,Madame de Blamont-Chauvry
PERSON,Mademoiselle de Bourgogne
PERSON,Mademoiselle de Beauséant
PERSON,Mademoiselle de Beauseant
PERSON,Mme Delphine de Nucingen
PERSON,Marie-Louise de Bargeton
PERSON,Marie-Louise de Chatelet
PERSON,Mlle. Louise du Chatelet
PERSON,Comte Maxime de Trailles
PERSON,Mlle. Léontine de Sérisy
PERSON,Mlle. Léontine de Sérizy
PERSON,Mlle. Leontine de Serisy
PERSON,Mlle. Leontine de Serizy
PERSON,Leontine de Ronquerolles
PERSON,Léontine de Ronquerolles
PERSON,Clara-Léontine de Serizy
PERSON,Duchesse de Maufrigneuse
PERSON,M. General de Montriveau
PERSON,Mademoiselle Lady Dudley
PERSON,Mme Lady Arabella Dudley
PERSON,Madame Josephine Schiltz
PERSON,Madame La petite Aurelie
PERSON,Mlle. Demoiselle Chevrel
PERSON,Mademoiselle des Touches
PERSON,Mme Félicité des Touches
PERSON,Mme Felicite des Touches
PERSON,Monsieur de Ronquerolles
PERSON,Mlle Claire de Bourgogne
PERSON,Mme. Claire de Bourgogne
PERSON,Mlle Claire de Beauséant
PERSON,Mme. Claire de Beauséant
PERSON,Mlle Claire de Beauseant
PERSON,Mme. Claire de Beauseant
PERSON,Vicomtesse de Montcornet
PERSON,Comtesse Marie-Angelique
PERSON,Comtesse de Saint-Hereen
PERSON,Antoinette de Navarreins
PERSON,Mademoiselle de Nucingen
PERSON,Mademoiselle du Châtelet
PERSON,Mademoiselle de Chatelet
PERSON,Mademoiselle de Bargeton
PERSON,Mademoiselle du Chatelet
PERSON,Mademoiselle du Ronceret
PERSON,Mlle. de Blamont-Chauvry
PERSON,Mlle Louise du Chatelet
PERSON,Mme. Louise du Chatelet
PERSON,Mlle Léontine de Sérisy
PERSON,Mme. Léontine de Sérisy
PERSON,Mlle Léontine de Sérizy
PERSON,Mme. Léontine de Sérizy
PERSON,Mlle Leontine de Serisy
PERSON,Mme. Leontine de Serisy
PERSON,Mlle Leontine de Serizy
PERSON,Mme. Leontine de Serizy
PERSON,Mademoiselle M. de Lora
PERSON,Madame Monsieur de Lora
PERSON,Madame Sophie Grignault
PERSON,Mlle. Josephine Schiltz
PERSON,Mlle. La petite Aurelie
PERSON,Mlle Demoiselle Chevrel
PERSON,Mme. Demoiselle Chevrel
PERSON,Marquis de Ronquerolles
PERSON,Baron de la Roche-Hugon
PERSON,Vicomtesse de Beauseant
PERSON,Mme Claire de Bourgogne
PERSON,Mme Claire de Beauséant
PERSON,Mme Claire de Beauseant
PERSON,Vicomtesse de Beauséant
PERSON,Madame Virginie Blondet
PERSON,Mademoiselle Montcornet
PERSON,demoiselle de Grandlieu
PERSON,Charles de la Palferine
PERSON,Vicomtesse de Grandlieu
PERSON,Mlle de Blamont-Chauvry
PERSON,Mme. de Blamont-Chauvry
PERSON,Mademoiselle Troisville
PERSON,Louise de Negrepelesse
PERSON,Louise de Nègrepelisse
PERSON,Mme Louise du Chatelet
PERSON,Monsieur de Vandenesse
PERSON,Monsieur de Grandville
PERSON,Comte Hugret de Serizy
PERSON,Mme Léontine de Sérisy
PERSON,Mme Léontine de Sérizy
PERSON,Mme Leontine de Serisy
PERSON,Mme Leontine de Serizy
PERSON,Ferdinand de Grandlieu
PERSON,Monsieur de Lenoncourt
PERSON,Monsieur de Navarreins
PERSON,Madame de Maufrigneuse
PERSON,Diane de Maufgrigneuse
PERSON,Doctor Horace Bianchon
PERSON,Jean Francois du Bruel
PERSON,Jean-Francois du Bruel
PERSON,Monsieur Joseph Bridau
PERSON,Madame Arabella Dudley
PERSON,Mademoiselle Mistigris
PERSON,Mlle. Monsieur de Lora
PERSON,Mlle. Sophie Grignault
PERSON,Mlle Josephine Schiltz
PERSON,Mme. Josephine Schiltz
PERSON,Mlle La petite Aurelie
PERSON,Mme. La petite Aurelie
PERSON,Madame Aurelie Schontz
PERSON,Mme Demoiselle Chevrel
PERSON,Marechal de Montcornet
PERSON,Madame Jeanne d'Espard
PERSON,Mademoiselle Beauseant
PERSON,Mademoiselle Beauséant
PERSON,Mlle. Virginie Blondet
PERSON,Virginie de Troisville
PERSON,Virginie de Montcornet
PERSON,Comtesse de Montcornet
PERSON,Comtesse de Grandville
PERSON,Comtesse de Vandenesse
PERSON,Duchesse de Lenoncourt
PERSON,Henri IV
PERSON,Lenoncourt-Chaulieu
PERSON,Lenoncourt Chaulieu
PERSON,Mademoiselle Godeschal
PERSON,Marquise de Vandenesse
PERSON,Madame de Negrepelesse
PERSON,Madame de Nègrepelisse
PERSON,Madame de Ronquerolles
PERSON,Mademoiselle de Sérisy
PERSON,Mademoiselle de Sérizy
PERSON,Mademoiselle de Serisy
PERSON,Mademoiselle de Serizy
PERSON,Mademoiselle Grignault
PERSON,Mme de Blamont-Chauvry
PERSON,Madame Blamont-Chauvry
PERSON,Mademoiselle Bourgogne
PERSON,Mademoiselle Delphine
PERSON,Mademoiselle Châtelet
PERSON,Mademoiselle Chatelet
PERSON,Monsieur de Granville
PERSON,Vicomte de Grandville
PERSON,Mademoiselle Léontine
PERSON,Mademoiselle Leontine
PERSON,Monsieur de Grandlieu
PERSON,Diane de Maufrigneuse
PERSON,Princesse de Cadignan
PERSON,Monsieur de Restignac
PERSON,Marquis de Montriveau
PERSON,General de Montriveau
PERSON,Mlle. Arabella Dudley
PERSON,Mademoiselle Arabella
PERSON,Marchioness of Dudley
PERSON,Mlle Monsieur de Lora
PERSON,Mme. Monsieur de Lora
PERSON,Madame Florine Nathan
PERSON,Mlle Sophie Grignault
PERSON,Mme. Sophie Grignault
PERSON,Mme Josephine Schiltz
PERSON,Josephine du Ronceret
PERSON,Mme La petite Aurelie
PERSON,Madame Little Aurelie
PERSON,Mlle. Aurelie Schontz
PERSON,Madame Camille Maupin
PERSON,General de Montcornet
PERSON,Vicomte de Montcornet
PERSON,Mademoiselle d'Espard
PERSON,Mlle. Jeanne d'Espard
PERSON,Marquise de Beauseant
PERSON,Marquise de Beauséant
PERSON,Mlle Virginie Blondet
PERSON,Mme. Virginie Blondet
PERSON,Clotilde de Grandlieu
PERSON,Comte de la Palferine
PERSON,Comtesse de Granville
PERSON,Baronne de Watteville
PERSON,Comtesse de Rastignac
PERSON,Madeleine de Mortsauf
PERSON,Duchesse de Grandlieu
PERSON,Jean-Jacques Rousseau
PERSON,Jean Jacques Rousseau
PERSON,Rosalie de Watteville
PERSON,Charles de Vandenesse
PERSON,Mademoiselle Nucingen
PERSON,Mademoiselle Bargeton
PERSON,Mlle. de Negrepelesse
PERSON,Mlle. de Nègrepelisse
PERSON,Mlle. de Ronquerolles
PERSON,Mademoiselle Ronceret
PERSON,Mlle. Blamont-Chauvry
PERSON,Mademoiselle Athenais
PERSON,Monsieur de Nucingen
PERSON,Frederic de Nucingen
PERSON,Delphine de Nucingen
PERSON,Monsieur de Trailles
PERSON,Gaudissart the Great
PERSON,Armand de Montriveau
PERSON,Mlle Arabella Dudley
PERSON,Mme. Arabella Dudley
PERSON,Madame Lady Arabella
PERSON,Lady Arabella Dudley
PERSON,Mademoiselle de Lora
PERSON,Mme Monsieur de Lora
PERSON,Monsieur de Rubempré
PERSON,Mademoiselle Florine
PERSON,Mlle. Florine Nathan
PERSON,Mme Sophie Grignault
PERSON,Mademoiselle Schiltz
PERSON,Mlle. Little Aurelie
PERSON,Mlle Aurelie Schontz
PERSON,Mme. Aurelie Schontz
PERSON,Mademoiselle Schontz
PERSON,Félicité des Touches
PERSON,Felicite des Touches
PERSON,Mlle. Camille Maupin
PERSON,Mlle Jeanne d'Espard
PERSON,Mme. Jeanne d'Espard
PERSON,Mme Virginie Blondet
PERSON,Madame de Montcornet
PERSON,Alfred de Vandenesse
PERSON,Paul-Francois-Joseph
PERSON,Mademoiselle Bontems
PERSON,Augusta de Rastignac
PERSON,Camille de Grandlieu
PERSON,Vicomte de Grandlieu
PERSON,Mlle de Negrepelesse
PERSON,Mme. de Negrepelesse
PERSON,Mlle de Nègrepelisse
PERSON,Mme. de Nègrepelisse
PERSON,Mlle de Ronquerolles
PERSON,Mme. de Ronquerolles
PERSON,Mademoiselle Aurelie
PERSON,Mademoiselle Chevrel
PERSON,Mademoiselle Touches
PERSON,Mlle Blamont-Chauvry
PERSON,Mme. Blamont-Chauvry
PERSON,Mademoiselle Blondet
PERSON,Madame de Troisville
PERSON,Monsieur de Canalis
PERSON,baronne du Châtelet
PERSON,baronne du Chatelet
PERSON,Baronne du Châtelet
PERSON,Baronne du Chatelet
PERSON,Comte de Vandenesse
PERSON,Félix de Vandenesse
PERSON,Felix de Vandenesse
PERSON,Comte de Grandville
PERSON,Mademoiselle Serizy
PERSON,Mademoiselle Sérisy
PERSON,Monsieur de Rhétoré
PERSON,Monsieur de Rhetore
PERSON,Alphonse de Rhetore
PERSON,Alphonse de Rhétoré
PERSON,Mme de Maufrigneuse
PERSON,Eugène de Rastignac
PERSON,Eugene de Rastignac
PERSON,Monsieur Gaudissart
PERSON,Ferdinand du Tillet
PERSON,Abbé Carlos Herrera
PERSON,Jean-Jacques Bixiou
PERSON,Jean Jacques Bixiou
PERSON,Mme Arabella Dudley
PERSON,Mlle. Lady Arabella
PERSON,Madame Leon de Lora
PERSON,Mlle Florine Nathan
PERSON,Mme. Florine Nathan
PERSON,Madame Raoul Nathan
PERSON,Mlle Little Aurelie
PERSON,Mme. Little Aurelie
PERSON,Mme Aurelie Schontz
PERSON,Mlle Camille Maupin
PERSON,Mme. Camille Maupin
PERSON,Comte de Montcornet
PERSON,Mme Jeanne d'Espard
PERSON,M de La Roche-Hugon
PERSON,Madame de Beauseant
PERSON,Claire de Bourgogne
PERSON,Claire de Beauséant
PERSON,Claire de Beauseant
PERSON,Madame de Beauséant
PERSON,Mlle. de Troisville
PERSON,Eugene de Granville
PERSON,Baron de Watteville
PERSON,Comte de Manerville
PERSON,Marie de Vandenesse
PERSON,Madame de Rastignac
PERSON,Claudine Chaffaroux
PERSON,Madame de Grandlieu
PERSON,"Duchesse
d'Argaiolo"
PERSON,Duchesse de Rhetore
PERSON,Josephine Bonaparte
PERSON,Sabine de Grandlieu
PERSON,Mme de Negrepelesse
PERSON,Madame Negrepelesse
PERSON,Mme de Nègrepelisse
PERSON,Madame Nègrepelisse
PERSON,Mme de Ronquerolles
PERSON,Madame Ronquerolles
PERSON,Mademoiselle Sérizy
PERSON,Mademoiselle Serisy
PERSON,Mademoiselle Dudley
PERSON,Mademoiselle Nathan
PERSON,Mademoiselle Maupin
PERSON,Mme Blamont-Chauvry
PERSON,Madame de Bourgogne
PERSON,Mlle. de Montcornet
PERSON,Madame de Bargeton
PERSON,Madame du Chatelet
PERSON,Madame du Châtelet
PERSON,Louise du Chatelet
PERSON,Comte des Lupeaulx
PERSON,Maxime de Trailles
PERSON,Comte de Granville
PERSON,Monsieur de Serizy
PERSON,Monsieur de Sérisy
PERSON,Monsieur de Sérizy
PERSON,Comtesse de Serizy
PERSON,Léontine de Sérisy
PERSON,Léontine de Sérizy
PERSON,Leontine de Serisy
